count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
613.0,21.53926590538336,5.062013854598397,6.22,18.5,22.22,25.38,35.71,-0.49994135817109,-0.058291772140415254
625.0,24.489808,10.702061700558641,2.43,15.7,24.83,32.9,51.67,0.02906924045277567,-0.8582423980814111
625.0,21.899967999999998,10.153574651525568,0.88,13.16,21.99,29.78,48.59,0.1348822235985039,-0.8168803062910288
625.0,39263.696,7454.236401141473,25090.0,33600.0,38200.0,43470.0,88330.0,1.1784084156585526,3.1701308985952985
625.0,8.7277683716896,3.2736416857160977,3.114503817,5.966014038,8.390410959,10.92770313,19.40996292,0.524795510808427,-0.3909388547951531
625.0,37.657759999999996,12.859170930726483,12.5,27.3,35.5,47.0,68.7,0.33815457616418215,-0.7840756281611112
625.0,44.888377732319995,17.44475545145016,9.0774093,31.9318056,42.5314928,56.9764711,93.618646,0.4111127723204244,-0.4261210640055908
625.0,1.06592,0.37224995049163623,0.28,0.78,1.07,1.33,2.34,0.17889850262257515,-0.2464962278670817
625.0,96.454128,33.7031331037521,15.95,73.09,91.21,115.38,246.41,1.0627868710119448,2.163555949348338
625.0,46.35691200000001,33.128129308891964,6.33,27.0,40.33,56.33,404.0,4.84497742458722,42.57972617383907
625.0,6.72624,1.4504252603624346,2.3,5.8,6.7,7.6,12.3,0.16259593341709455,0.648451921708872
625.0,4.92176,1.2615390884926523,1.8,4.1,4.8,5.7,10.9,0.4064724971797626,0.5942620710304665
625.0,3.6760639999999998,1.3499858246169352,1.28,2.62,3.28,4.46,7.96,0.9400208473434131,0.3514695724455903
625.0,8036.495058983681,4762.224300993461,177.5862069,4528.571429,6800.0,10800.0,29375.0,0.8658997217733014,0.4021547916436874
625.0,50.413139582495994,28.487959068309365,0.0,28.13,51.69,73.44,100.0,-0.04960620995071994,-1.0197435506120915
